InOut,Wind velocity(m/s),Wind direction,Altitude(m),Atmospheric pressure(hPa),Vibration(Hz),Solar radiation(W/m^2),Sound(dB)
Indoor,1,90,49,1013.25,20,5,55
Indoor,1.5,100,35,1012,30,5.1,75
Indoor,0.8,100,35,1012,25,5.4,73
Indoor,0.7,100,35,1012,27,5.2,65
Indoor,2,150,50,1013.14,36,5.7,70
Indoor,1.3,123,46,1010.65,34,6,62
Indoor,0.4,170,42,1011.28,29,5.1,67
Indoor,0.3,270,42,1009.5,35,5.2,70
Indoor,0.2,270,42,1015,21,5.1,72
Indoor,0.5,250,30,1013,27,4.9,59
Indoor,0.2,168,25,1013.25,35,4.8,62
Indoor,1.1,157,30,1012.37,40,4.7,53
Indoor,1.1,156,30,1017.76,43,4.7,52
Indoor,0.3,225,35,1015.65,38,4.9,51
Indoor,0.1,236,32,1013.25,32,5.2,50
Indoor,0.2,320,34,1013.45,23,5.7,68
Indoor,0.7,345,34,1012.7,45,5.3,64
Indoor,0.3,357,34,1011.65,50,5.8,69
Indoor,0.4,295,37,1010.33,25,4,30
Outdoor,5,315,37,1008.58,32,6.1,45
Outdoor,6,310,45,1002.34,24,6.5,46
Outdoor,4,186,45,1008.22,24,6.1,48
Outdoor,9,157,5,1013.25,22,6.3,50
Outdoor,8,154,10,1013.25,24,6.2,56
Outdoor,10,124,15,1009.38,21,6.8,53
Outdoor,12,85,1915,995.12,26,1,52
Outdoor,8,76,25,1010.2,25,6.7,57
Outdoor,5,34,1002,1013.25,24,6.7,62
Outdoor,18,65,5,1012.24,23,6.5,54
Outdoor,16,45,15,1013.12,27,5.4,46
Outdoor,6,180,30,1009.5,25,6.8,42
Outdoor,7,156,25,1012.1,29,6.9,41
Outdoor,12,71,2,1013.24,26,5.9,43
Outdoor,18,150,70,1002.3,45,6.8,62
Outdoor,8,38,20,1012.3,43,6.4,41